,date,rating,title,review
0,Date of stay: October 2015,50,Perfection!,"Me and my family have stayed at the hotel in late August and frankly speaking we were really disappointed. The Kowloon view room in the new building was very small, view was ordinary and the service was not satisfying. After a month, we spent another 2 nights in a harbor view deluxe suite, and the experience was perfect. We arrived at 2 pm and there were no queue waiting for checking in. We booked a harbor view superior suite and they offer us an upgrade since the trip was to celebrate my parents' birthday. The cake flower were there waiting for us on the table. The suite was very spacious and the most amazing part was the bathroom. A bathtub overlooking Kowloon!

On the second day during our stay, which was mid-autumn festival, we were given four Spring Moon mooncakes, which was by far the most delicious mooncakes I've ever had.

The service has prominently improved. Most waiters and waitresses even remembered which suite we stayed at, we don't have to inform them our room number when we were making requests at the front desk.

Overall a very pleasant stay, we totally enjoyed it. Suites in the Peninsula HK would be an important component for a perfect holiday in HK!"
1,Date of stay: November 2015,50,Very close to being perfect,"My husband and I have just finished a 3 night stay at this wonderful property. There are many wonderful things to say but here are the highlights:
The room was absolutely superb. We were on the 27th floor in a Harbour grand delux room. Amazing views. Room was beautifully appointed with many thoughtful additions such as the iPad like room controls that were very easy to use. The only small niggles were the very occasional gush of cold water when showering and as per usual not electrical sockets near a mirror ( my personal gripe as most hotel rooms are clearly designed by men who have no thought for a guests need to use their own hairdryer or straighteners!!!)
The restaurants and bars are as you would expect a classy establishment to have. The choice of wines and cocktails didn't disappoint.
I had 2 treatments in the spa - sheer heaven. The pool area is stunning.
Overall this is the best hotel we have stayed in in HKG.
We only had one issue and that was with the concierge when booking a cab back to the airport. We clearly stated a taxi cab and he offered the helicopter , then the hotel Mercedes. We said no could we have a normal taxi. On checking out at 4.45am we found it was the Merc. We felt we had to accept as the bill was by then in the middle of being processed and the driver was already there."
2,Date of stay: November 2015,50,Total delight,"The Rolls Royce experience on arrival at HK airport is wonderful. First time we have ever been met airside directly off the plane & whisked though security, baggage reclaim & guided smoothly to a waiting Rolls. On arrival at the hotel, we were met at the door & taken directly to our deluxe harbour view room on the top floor. So nice not to have to queue/hang around at a check in desk. Lovely room, enormous bed, divine bedding, great view. Lots of technology in the room but all very simple to operate. We had a quick swim in the morning. Pool was gorgeous & we could have happily idled away a few hours here. Breakfast was good although service was not too sharp. On the first morning of our stay there was only one waiter on duty & he seemed to disappear from time to time so we had to wait a while for coffee & coffee refills. Staff otherwise were totally professional, personable & attentive. Sadly we only had 2 nights here which was all too brief but we loved our stay &, as we sat in the Rolls for our journey back to the airport, we reflected on how delightful our stay had been."
3,Date of stay: January 2015,50,HOME,"This is our HOME in HK. Warm perfect services delivered always in a friendly perfect way. The new rooms, the lobby and the swimming-pool are just 3 examples of perfection. Ideal for business or leisure trips. One of the best 5L hotels in the world if you ask me."
4,Date of stay: November 2015,50,"Oh my, oh my, what a delight","The view from a high floor overlooking the harbor is just perfect. The huge window, thoughtfully double-glazed to keep the room quiet, presents one of the great water views of the world: the immense and delightfully busy Hong Kong harbor plus the astonishing line-up of skyscrapers shoulder-to-shoulder along the sea front and beyond. And the room itself -- as up-to-date as this traveler has ever seen, with three iPads to control lights, open and close curtains, adjust temperature and fan speeds, view lists of hotel restaurants, and on and on. Breakfast in the room is pretty much a must, as it allows you to see the great city coming to life, the ferries dashing about to one island or another, the tugs and barges and container ships lugging goods from one place to another. As the day develops the display will expand to include tourist boats and occasional Seriously Rich Guys in their Seriously Big Boats passing by. The bed is perfect, the amenities over the top, the toilet flushing a bit cranky, and the spacious and powerful shower the best we've ever enjoyed in a hotel...or anywhere else. We didn't use the TV, but it was enormous. The staff were highly accommodating and professional. The concierge services were extremely well informed and helpful. We got a special package deal, so while the bill was a thumping one, we survived."
5,Date of stay: February 2015,50,Best Hotel of the World,"I love the hotel, the service is outstanding, the rooms amazing. By far : the Best hotel in HK. All the food outlets are amazing, not to mention, do not forgot to pass by the Gift Shop, very cute!
It is also the best afternoon tea in town."
6,Date of stay: November 2015,50,Is this still the best hotel in the world?,"Yes I think it is (not that I have been to them all!).Rather than list the things that the Peninsular does spectacularly well which are well covered in this forum I thought I would identify a couple of areas which they may care to address in order to stay at the top. After all if you stand still something will come up and bite you and as we know nothing stands still in HK.
1 ""Its not you its your guests""
Maintaining standards must be at the top of the Agenda. Difficult territory this but I find it unacceptable to see a guy in shorts and singlet eating his donuts from a box and swilling coffee from a starbucks cup sitting in the middle of the lobby as I eat my own breakfast. The situation needs to managed by skilled staff.
I also find it unacceptable to having dinner in one of the restaurants with two guys at the next table watching a basketball game on a handheld device with the sound on and clearly audible to the room. Once again a situation that should be proactively managed.
2 The service/gratuity dilemma.
One or the other please but not both. After adding a 10% service charge to the bill (That's OK for me as service is outstanding) to leave a blank gratuity box is confusing. I am quite to able to reward staff with a further gratuity if warranted. For the first time at this hotel I was also aware of some open solicitation of gratuity in one of the restaurants in addition to the service charge. Not acceptable to me.
Finally we had a great stay and the front desk was outstanding. If only you could wrap it up with your Christmas ribbon and sent it every five star hotel in the world I would rejoice."
7,Date of stay: November 2015,50,Amazing luxury hotel with some history,"We opted for the rolls royce airport transfer service which although expensive was a great way to start our trip after a 13 hour flight from Vancouver.

Upon arrival at the hotel we quickly shown to our harbour view room for in room check in. The view was incredible facing Hong Kong island. The grand harbour view room was a good size and included everything you could ask for. The room is controlled by the provide iPads; very hi tech. Room included a king bed, desk area, lounge chair and bathroom with tub and separate shower. The room appeared to be recently renovated and was in excellent condition.

Breakfast was included in our room rate which we decided to have at the pool each day and it was great.

The pool area is very nice with great views of the hong kong skyline.

The common areas were great although overrun by tourists at some times."
8,Date of stay: November 2015,50,Perfection,"Impossible to criticise what year after year only becomes better. The Peninsula (The Grand Old Lady) is like a good Bordeaux, it gets better with time. The rooms have been refurbished again and bring the latest technology. Beds are perfect and the linen probably one of the best I have ever experienced. Do ask and pay the premium for a Harbour view room.
Simply Perfect stay !"
9,Date of stay: October 2015,50,A place I call home while visiting Hong Kong,"Staff is very friendly and helpful. You find history every corner you turn. Though the high tea is praised by most people, I find it quite ordinary. Location is great, near the harbor and subway.
The room is spotless clean. There isn't a streak on any glass or metal surface. In room coffee machine is provided which is a huge plus. The dresser (for ladies) is a gem! All lighting and electronic devices are controlled by the pads on the night stand. The bed is HEAVENLY! I enjoyed the stay so much that I'd naturally called it ""home"" while I was heading back to the hotel after a day exploring the city."
